,Name,Tweet
0,robhocker,"First Marty the clean up bot and now this? @BenKissel was right, the uprising has begun. Fuck #Ballie @@Samsung @SamsungNewsUS"
1,malkaniaraman,"@SamsungHelp_IN WORST SAMSUNG, @SamsungMobileIN @@Samsung_IN @SamsungMobile Samsung flagships, samsung s8"
